Issue Type,Summary,Description,Parent,Epic Name,Story Points,Priority,Components,Labels,Acceptance Criteria
Epic,User Authentication & Account Management,Implement user authentication system with role-based access control,,User Management,,,Core,auth|users,
Story,User Registration and Login,As a user I want to register and login so that I can access the learning platform,User Authentication & Account Management,,5,High,Backend|Frontend,auth|mvp,"GIVEN a new user WHEN they provide email and password THEN account is created and email verification sent; GIVEN registered user WHEN they login with valid credentials THEN they are authenticated and redirected to dashboard"
Task,Setup authentication database schema,Create users table with fields: id email password_hash name role created_at updated_at,User Registration and Login,,3,High,Backend,backend|database,
Task,Implement JWT token generation and validation,Create JWT service for token generation refresh and validation,User Registration and Login,,3,High,Backend,backend|security,
Task,Build registration API endpoint,POST /api/auth/register endpoint with validation and email verification,User Registration and Login,,2,High,Backend,backend|api,
Task,Build login API endpoint,POST /api/auth/login endpoint with credential validation and token generation,User Registration and Login,,2,High,Backend,backend|api,
Task,Create registration UI form,Build registration form with validation email password confirmation,User Registration and Login,,3,Medium,Frontend,frontend|ui,
Task,Create login UI form,Build login form with email password and remember me option,User Registration and Login,,2,Medium,Frontend,frontend|ui,
Story,User Profile Management,As a user I want to manage my profile and preferences so that I can customize my learning experience,User Authentication & Account Management,,5,Medium,Backend|Frontend,profile|users,"GIVEN authenticated user WHEN they update profile THEN changes are saved and reflected; GIVEN user preferences WHEN they configure learning pace and model preferences THEN settings are persisted"
Task,Create user profile API endpoints,GET/PUT /api/users/profile for profile retrieval and updates,User Profile Management,,3,Medium,Backend,backend|api,
Task,Build profile settings UI,Create profile page with editable fields for name email preferences,User Profile Management,,3,Medium,Frontend,frontend|ui,
Story,Role-Based Access Control,As an admin I want to manage user roles so that I can control access to features,User Authentication & Account Management,,5,Medium,Backend,rbac|security,"GIVEN user roles (learner instructor admin) WHEN user accesses resources THEN permissions are enforced; GIVEN admin WHEN they assign roles THEN users receive appropriate access"
Task,Implement RBAC middleware,Create middleware to check user roles and permissions for protected routes,Role-Based Access Control,,3,Medium,Backend,backend|security,
Task,Create role management UI for admins,Admin panel to view and modify user roles,Role-Based Access Control,,3,Low,Frontend,frontend|admin,
Epic,Curriculum Management System,Build system to create manage and navigate learning curricula,,Curriculum,,,Core,curriculum|content,
Story,Curriculum Data Model and Storage,As a developer I want a flexible curriculum data model so that I can support multiple learning domains,Curriculum Management System,,8,High,Backend,backend|database,"GIVEN curriculum structure WHEN storing topics and subtopics THEN hierarchical relationships are maintained; GIVEN learning objectives WHEN associated with topics THEN they are retrievable"
Task,Design curriculum database schema,Create tables: curricula topics subtopics learning_objectives with relationships,Curriculum Data Model and Storage,,5,High,Backend,backend|database,
Task,Implement curriculum repository pattern,Create data access layer for curriculum CRUD operations,Curriculum Data Model and Storage,,3,High,Backend,backend|architecture,
Story,Browse and Select Curriculum,As a learner I want to browse available curricula so that I can choose what to learn,Curriculum Management System,,5,Medium,Frontend,curriculum|ui,"GIVEN available curricula WHEN user browses THEN they see organized list by domain; GIVEN curriculum selection WHEN user clicks THEN they see detailed view with topics"
Task,Create curriculum listing API,GET /api/curricula with filtering by domain difficulty level,Browse and Select Curriculum,,2,Medium,Backend,backend|api,
Task,Build curriculum browser UI,Grid/list view of curricula with domain tags difficulty indicators,Browse and Select Curriculum,,3,Medium,Frontend,frontend|ui,
Task,Create curriculum detail view,Show curriculum structure topics learning path and metadata,Browse and Select Curriculum,,3,Medium,Frontend,frontend|ui,
Story,Topic Navigation and Progress Tracking,As a learner I want to navigate through topics and track my progress so that I know where I am in my learning journey,Curriculum Management System,,8,High,Backend|Frontend,navigation|progress,"GIVEN current topic WHEN user completes THEN progress is saved; GIVEN learning path WHEN user navigates THEN next recommended topic is shown"
Task,Implement progress tracking API,POST/GET /api/progress to save and retrieve user progress per topic,Topic Navigation and Progress Tracking,,3,High,Backend,backend|api,
Task,Create topic navigation UI,Sidebar or breadcrumb navigation showing curriculum structure and progress,Topic Navigation and Progress Tracking,,5,High,Frontend,frontend|ui,
Task,Build progress dashboard,Visual representation of learning progress completion rates time spent,Topic Navigation and Progress Tracking,,3,Medium,Frontend,frontend|ui,
Story,Curriculum Creation Interface,As an instructor I want to create curricula so that I can define learning paths for students,Curriculum Management System,,8,Medium,Frontend|Backend,curriculum|instructor,"GIVEN instructor role WHEN they create curriculum THEN structure is saved; GIVEN topics WHEN they add learning objectives and content THEN associations are maintained"
Task,Create curriculum authoring API,POST/PUT/DELETE /api/curricula for curriculum creation and editing,Curriculum Creation Interface,,5,Medium,Backend,backend|api,
Task,Build curriculum editor UI,Form-based or visual editor for creating curriculum topics and subtopics,Curriculum Creation Interface,,8,Medium,Frontend,frontend|ui,
Epic,AI Model Integration Layer,Build flexible AI orchestration layer supporting multiple providers and local LLMs,,AI Integration,,,Core,ai|models|integration,
Story,AI Model Configuration Management,As a user I want to configure multiple AI models so that I can choose which model to use for learning,AI Model Integration Layer,,8,High,Backend|Frontend,ai|config,"GIVEN AI providers WHEN user adds API keys THEN credentials are securely stored; GIVEN multiple models WHEN user configures THEN they can switch between them"
Task,Design AI model configuration schema,Create ai_models table with provider endpoint credentials capabilities,AI Model Configuration Management,,3,High,Backend,backend|database,
Task,Implement secure API key storage,Encrypt API keys using encryption service before storing in database,AI Model Configuration Management,,3,High,Backend,backend|security,
Task,Build model configuration API,CRUD endpoints for managing AI model configurations,AI Model Configuration Management,,3,High,Backend,backend|api,
Task,Create model management UI,Settings page to add edit test and delete AI model configurations,AI Model Configuration Management,,5,Medium,Frontend,frontend|ui,
Story,AI Provider Abstraction Layer,As a developer I want an abstraction layer so that I can integrate multiple AI providers seamlessly,AI Model Integration Layer,,13,High,Backend,ai|architecture,"GIVEN different AI providers WHEN making requests THEN unified interface is used; GIVEN provider-specific formats WHEN transforming requests THEN correct format is used"
Task,Create AI provider interface,Define common interface for completion streaming token counting,AI Provider Abstraction Layer,,3,High,Backend,backend|architecture,
Task,Implement OpenAI provider adapter,Adapter class for OpenAI API with error handling and retries,AI Provider Abstraction Layer,,3,High,Backend,backend|ai,
Task,Implement Anthropic provider adapter,Adapter class for Anthropic Claude API with error handling,AI Provider Abstraction Layer,,3,High,Backend,backend|ai,
Task,Implement generic provider adapter,Adapter for OpenAI-compatible APIs and custom endpoints,AI Provider Abstraction Layer,,3,Medium,Backend,backend|ai,
Task,Create provider factory and router,Factory pattern to instantiate correct provider based on configuration,AI Provider Abstraction Layer,,2,High,Backend,backend|architecture,
Story,Local LLM Integration,As a user I want to use local LLMs so that I can reduce costs and maintain privacy,AI Model Integration Layer,,8,Medium,Backend,ai|local-llm,"GIVEN local LLM endpoint WHEN configured THEN requests are routed correctly; GIVEN Ollama/LM Studio WHEN integrating THEN standard API format is used"
Task,Implement local LLM provider adapter,Support for Ollama LM Studio and OpenAI-compatible local endpoints,Local LLM Integration,,5,Medium,Backend,backend|ai,
Task,Add connection testing functionality,Test endpoint connectivity and model availability before saving,Local LLM Integration,,2,Medium,Backend,backend|api,
Task,Document local LLM setup guide,Instructions for setting up Ollama LM Studio with compatible models,Local LLM Integration,,1,Low,Documentation,documentation,
Story,Model Selection and Switching,As a learner I want to select and switch AI models during learning so that I can optimize for cost performance or capability,AI Model Integration Layer,,5,High,Frontend|Backend,ai|switching,"GIVEN multiple configured models WHEN starting session THEN user selects preferred model; GIVEN active session WHEN user switches model THEN subsequent requests use new model"
Task,Create model selection API,GET /api/models/available to list configured and active models,Model Selection and Switching,,2,High,Backend,backend|api,
Task,Implement session-based model tracking,Store selected model in learning session and allow mid-session switching,Model Selection and Switching,,3,High,Backend,backend|api,
Task,Build model selector UI component,Dropdown or modal to select and switch models with metadata display,Model Selection and Switching,,3,Medium,Frontend,frontend|ui,
Epic,Learning Session Management,Implement system to manage learning sessions with AI interactions,,Learning Sessions,,,Core,sessions|learning,
Story,Learning Session Lifecycle,As a learner I want my learning sessions to be tracked so that I can resume where I left off,Learning Session Management,,8,High,Backend,sessions|backend,"GIVEN user starts topic WHEN session begins THEN session is created; GIVEN active session WHEN user pauses THEN state is saved; GIVEN paused session WHEN user returns THEN they can resume"
Task,Design learning session schema,Create learning_sessions table with user_id topic_id model status timestamps,Learning Session Lifecycle,,3,High,Backend,backend|database,
Task,Implement session management API,POST/GET/PUT /api/sessions for create retrieve and update operations,Learning Session Lifecycle,,3,High,Backend,backend|api,
Task,Add session state management,Track session status: in_progress paused completed abandoned,Learning Session Lifecycle,,2,High,Backend,backend|api,
Story,Conversation History Storage,As a learner I want my conversations saved so that I can review previous interactions,Learning Session Management,,5,Medium,Backend,sessions|storage,"GIVEN AI conversation WHEN messages exchanged THEN they are persisted; GIVEN session history WHEN retrieved THEN chronological order is maintained"
Task,Design conversation schema,Create conversations table with session_id role content model timestamp,Conversation History Storage,,2,Medium,Backend,backend|database,
Task,Implement conversation logging,Save each user and assistant message to database during session,Conversation History Storage,,2,Medium,Backend,backend|api,
Task,Create conversation retrieval API,GET /api/sessions/:id/conversations to fetch session history,Conversation History Storage,,2,Medium,Backend,backend|api,
Story,Session Context Management,As a learner I want the AI to remember our conversation context so that interactions are coherent,Learning Session Management,,5,Medium,Backend,ai|context,"GIVEN ongoing session WHEN AI responds THEN previous messages are included in context; GIVEN context limit WHEN exceeded THEN intelligent truncation is applied"
Task,Implement context window management,Manage conversation history within model token limits using sliding window,Session Context Management,,3,Medium,Backend,backend|ai,
Task,Add context summarization,When context is too long create summary of earlier conversation,Session Context Management,,3,Low,Backend,backend|ai,
Epic,AI-Powered Learning Interactions,Build interactive learning experiences with AI guidance and exploration,,AI Learning,,,Core,ai|learning|interaction,
Story,Guided Learning Mode,As a learner I want AI to guide me through topics so that I learn systematically,AI-Powered Learning Interactions,,8,High,Backend|Frontend,ai|guided,"GIVEN selected topic WHEN session starts THEN AI provides structured introduction; GIVEN learning objectives WHEN AI teaches THEN content aligns with goals; GIVEN user questions WHEN answered THEN AI stays on topic"
Task,Design guided learning prompts,Create system prompt templates for tutoring mode with topic constraints,Guided Learning Mode,,3,High,Backend,backend|ai,
Task,Implement topic context injection,Load topic content and objectives into AI context for guided sessions,Guided Learning Mode,,3,High,Backend,backend|ai,
Task,Build chat interface for learning,Real-time chat UI with message history and typing indicators,Guided Learning Mode,,5,High,Frontend,frontend|ui,
Task,Add topic boundary enforcement,Pre-process user input to detect off-topic queries and handle appropriately,Guided Learning Mode,,3,Medium,Backend,backend|ai,
Story,Exploratory Learning Mode,As a learner I want to explore related concepts so that I can deepen my understanding,AI-Powered Learning Interactions,,5,Medium,Backend|Frontend,ai|exploration,"GIVEN current topic WHEN user asks tangential question THEN AI validates relevance; GIVEN related concept WHEN explored THEN connection to main topic is maintained; GIVEN exploration WHEN complete THEN user can return to guided path"
Task,Implement relevance checking,Use AI to determine if question is related to current topic before answering,Exploratory Learning Mode,,3,Medium,Backend,backend|ai,
Task,Create exploration mode toggle,UI control to switch between guided and exploratory modes,Exploratory Learning Mode,,2,Medium,Frontend,frontend|ui,
Task,Add topic connection tracking,Track and display how exploratory concepts relate to main learning path,Exploratory Learning Mode,,3,Low,Backend,backend|api,
Story,Interactive Code Examples,As a learner studying programming I want interactive code examples so that I can learn by doing,AI-Powered Learning Interactions,,8,Medium,Backend|Frontend,code|interactive,"GIVEN programming topic WHEN learning THEN code examples are provided; GIVEN code example WHEN user modifies THEN they can run and see results; GIVEN code execution WHEN errors occur THEN AI explains the issue"
Task,Integrate code execution engine,Setup sandboxed code execution for Java Python JavaScript,Interactive Code Examples,,8,Medium,Backend,backend|code-execution,
Task,Build code editor component,Embed Monaco or CodeMirror editor in learning interface,Interactive Code Examples,,5,Medium,Frontend,frontend|ui,
Task,Implement code explanation feature,Allow users to request AI explanations of code snippets,Interactive Code Examples,,3,Medium,Backend,backend|ai,
Story,Learning Resource Recommendations,As a learner I want AI to recommend additional resources so that I can learn more effectively,AI-Powered Learning Interactions,,3,Low,Backend,ai|recommendations,"GIVEN learning progress WHEN AI detects knowledge gap THEN relevant resources are suggested; GIVEN topic WHEN additional materials exist THEN they are linked"
Task,Create resource recommendation logic,Use AI to suggest relevant documentation articles videos based on context,Learning Resource Recommendations,,3,Low,Backend,backend|ai,
Task,Build resource display UI,Show recommended resources in sidebar or modal with descriptions,Learning Resource Recommendations,,2,Low,Frontend,frontend|ui,
Epic,Evaluation and Assessment System,Build adaptive evaluation system with domain-appropriate assessment methods,,Evaluation,,,Core,evaluation|assessment,
Story,Evaluation Engine Core,As a developer I want a flexible evaluation engine so that I can support different assessment types,Evaluation and Assessment System,,13,High,Backend,evaluation|backend,"GIVEN topic WHEN evaluation triggered THEN appropriate assessment type is selected; GIVEN user responses WHEN submitted THEN AI evaluates against rubric; GIVEN evaluation complete WHEN scored THEN feedback is generated"
Task,Design evaluation schema,Create evaluations table with session_id type questions answers score feedback rubric,Evaluation Engine Core,,3,High,Backend,backend|database,
Task,Implement evaluation API,POST /api/evaluations for creating and GET for retrieving results,Evaluation Engine Core,,3,High,Backend,backend|api,
Task,Create evaluation prompt templates,System prompts for different evaluation types: quiz code-review scenario,Evaluation Engine Core,,5,High,Backend,backend|ai,
Task,Build rubric-based scoring system,Define scoring rubrics per topic and apply consistently during evaluation,Evaluation Engine Core,,5,Medium,Backend,backend|evaluation,
Story,Multiple Choice and Quiz Assessments,As a learner I want to take quizzes so that I can test my conceptual understanding,Evaluation and Assessment System,,8,Medium,Backend|Frontend,quiz|assessment,"GIVEN completed topic WHEN quiz generated THEN questions are relevant; GIVEN quiz attempt WHEN answered THEN immediate feedback is provided; GIVEN quiz results WHEN reviewed THEN explanations are available"
Task,Implement AI quiz generation,Use AI to generate multiple choice questions based on topic content,Multiple Choice and Quiz Assessments,,5,Medium,Backend,backend|ai,
Task,Build quiz UI component,Interactive quiz interface with question display option selection submit,Multiple Choice and Quiz Assessments,,5,Medium,Frontend,frontend|ui,
Task,Add instant feedback mechanism,Show correct/incorrect with explanations after each question or at end,Multiple Choice and Quiz Assessments,,3,Medium,Frontend,frontend|ui,
Story,Code Assessment and Review,As a learner studying programming I want my code to be reviewed so that I can improve,Evaluation and Assessment System,,8,High,Backend|Frontend,code|assessment,"GIVEN coding exercise WHEN user submits THEN AI reviews for correctness; GIVEN code review WHEN complete THEN feedback covers functionality style and best practices"
